"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 평창군 대화면 대화리","986-10","0986","0010","가원빌리지","69.56","62.29","202004","1","8,500","5","2017","남산1길 8"
"강원도 평창군 진부면 상진부리","254-97","0254","0097","오대천타운","69.55","82.79","202004","1","10,200","2","2017","진벌길 16-15"
"강원도 평창군 진부면 하진부리","200-1","0200","0001","대주 에코하우스","71.24","56.46","202004","24","14,300","2","2013","석두산길 30"
"강원도 평창군 진부면 하진부리","206-112","0206","0112","세영","70.46","48.86","202004","22","17,500","2","2015","진부시장뒷길 53"
"강원도 평창군 평창읍 종부리","588-1","0588","0001","(588-1)","84.06","141.25","202004","20","16,500","2","2008","산책길 3"
"강원도 평창군 평창읍 중리","256","0256","0000","라테라스빌","65.18","57.71","202004","28","22,400","2","2020","노람들길 30"
"강원도 평창군 평창읍 중리","123","0123","0000","씨티빌","76.87","77.35","202004","24","6,430","2","1997","노람들길 120-3"
"강원도 평창군 평창읍 하리","87-4","0087","0004","대동월드 103동","77.02","68","202004","2","12,000","2","1999","군청길 88"
"강원도 평창군 평창읍 하리","227-7","0227","0007","대동월드106동","23.94","22.64","202004","12","4,000","3","2001","군청길 88"
"강원도 홍천군 북방면 하화계리","293","0293","0000","대한빌라가동","63.83","62.52","202004","10","5,500","4","1993","홍천로 196-6"
"강원도 홍천군 홍천읍 연봉리","301-8","0301","0008","트라움하우스B동","67.8569","61.48","202004","13","18,300","2","2019","무궁화로4길 21-1"
